0383
ANG_COM002
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2021/12/03 23:00:00,93.41,87.27,2.5
2021/12/03 23:05:00,93.15,86.67,2.49
2021/12/03 23:10:00,92.88,86.31,2.49
2021/12/03 23:15:00,92.51,85.78,2.49
2021/12/03 23:20:00,92.41,86.16,2.5
2021/12/03 23:25:00,92.49,86.35,2.51
2021/12/03 23:30:00,92.57,88.4,2.56
2021/12/03 23:35:00,92.83,90.24,2.6
2021/12/03 23:40:00,92.86,88.87,2.56
2021/12/03 23:45:00,92.9,87.49,2.52
2021/12/03 23:50:00,91.9,83.63,2.45
2021/12/03 23:55:00,91.41,84.63,2.5
2021/12/04 00:00:00,90.89,85.73,2.55
2021/12/04 00:05:00,90.4,84.55,2.54
2021/12/04 00:10:00,90.55,84.35,2.52
2021/12/04 00:15:00,91.74,85.44,2.51
2021/12/04 00:20:00,91.93,86.06,2.52
2021/12/04 00:25:00,91.69,85.16,2.5
2021/12/04 00:30:00,90.91,85.07,2.53
2021/12/04 00:35:00,90.51,84.82,2.54
2021/12/04 00:40:00,90.1,84.55,2.55
2021/12/04 00:45:00,90.85,85.25,2.54
2021/12/04 00:50:00,90.51,86.13,2.58
2021/12/04 00:55:00,90.7,87.13,2.6
2021/12/04 01:00:00,90.06,86.38,2.61
2021/12/04 01:05:00,89.99,85.27,2.58
2021/12/04 01:10:00,89.72,84.99,2.58
2021/12/04 01:15:00,89.71,84.17,2.55
2021/12/04 01:20:00,89.1,83.75,2.57
2021/12/04 01:25:00,89.38,82.76,2.52
2021/12/04 01:30:00,88.93,84.29,2.59
2021/12/04 01:35:00,89.18,86.19,2.64
2021/12/04 01:40:00,88.94,84.74,2.6
2021/12/04 01:45:00,88.71,82.08,2.53
2021/12/04 01:50:00,88.56,82.5,2.55
2021/12/04 01:55:00,88.42,82.92,2.57
2021/12/04 02:00:00,88.86,83.65,2.57
2021/12/04 02:05:00,87.88,82.4,2.58
2021/12/04 02:10:00,87.7,81.26,2.55
2021/12/04 02:15:00,87.92,81.5,2.55
2021/12/04 02:20:00,88.58,81.6,2.52
2021/12/04 02:25:00,87.64,81.03,2.54
2021/12/04 02:30:00,86.75,78.71,2.51
2021/12/04 02:35:00,86.06,77.79,2.51
2021/12/04 02:40:00,86.38,78.18,2.51
2021/12/04 02:45:00,86.76,79.89,2.55
2021/12/04 02:50:00,86.92,80.18,2.55
2021/12/04 02:55:00,87.94,80.8,2.52
2021/12/04 03:00:00,88.41,81.6,2.53
2021/12/04 03:05:00,87.34,79.54,2.51
2021/12/04 03:10:00,86.53,76.64,2.45
2021/12/04 03:15:00,86.29,77.82,2.5
2021/12/04 03:20:00,85.96,78.9,2.55
2021/12/04 03:25:00,85.3,76.96,2.51
2021/12/04 03:30:00,85.58,76.06,2.47
2021/12/04 03:35:00,85.48,76.5,2.49
2021/12/04 03:40:00,85.42,76.11,2.48
2021/12/04 03:45:00,87.21,78.96,2.5
2021/12/04 03:50:00,87.05,80.48,2.55
2021/12/04 03:55:00,87.41,80.78,2.55
2021/12/04 04:00:00,86.96,79.47,2.52
2021/12/04 04:05:00,86.67,77.56,2.48
2021/12/04 04:10:00,86.18,77.95,2.51
2021/12/04 04:15:00,85.74,77.32,2.51
2021/12/04 04:20:00,84.12,75.57,2.52
2021/12/04 04:25:00,84.25,75.13,2.5
2021/12/04 04:30:00,83.63,73.81,2.48
2021/12/04 04:35:00,83.84,73.29,2.46
2021/12/04 04:40:00,84.43,75.35,2.5
2021/12/04 04:45:00,85.19,76.64,2.51
2021/12/04 04:50:00,85.56,76.46,2.49
2021/12/04 04:55:00,85.63,76.42,2.48
2021/12/04 05:00:00,85.23,76.25,2.49
2021/12/04 05:05:00,85.67,77.23,2.51
2021/12/04 05:10:00,87.31,79.03,2.5
2021/12/04 05:15:00,88.73,83.16,2.56
2021/12/04 05:20:00,88.92,84.27,2.59
2021/12/04 05:25:00,90.71,86,2.57
2021/12/04 05:30:00,93.01,91.52,2.63
2021/12/04 05:35:00,94.95,95.52,2.67
2021/12/04 05:40:00,97.66,99.22,2.66
2021/12/04 05:45:00,99.93,104.2,2.7
2021/12/04 05:50:00,103.47,109.3,2.69
2021/12/04 05:55:00,103.83,110.4,2.7
2021/12/04 06:00:00,104.76,113.4,2.74
2021/12/04 06:05:00,105.46,115.4,2.76
2021/12/04 06:10:00,105.56,115.4,2.76
2021/12/04 06:15:00,104.22,111.7,2.72
2021/12/04 06:20:00,103.99,110.9,2.71
2021/12/04 06:25:00,103.8,110.7,2.71
2021/12/04 06:30:00,103.68,110.5,2.71
2021/12/04 06:35:00,103.39,108.6,2.68
2021/12/04 06:40:00,101.32,105.4,2.68
2021/12/04 06:45:00,101.61,105.8,2.67
2021/12/04 06:50:00,102.72,108.3,2.69
