group,time_of_day,DWF,MNF,ADWF,GWI,SF
Weekend/Holiday,11:05,4.759809000000001,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.210799343724118
Weekend/Holiday,11:10,4.844451555555556,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.295441899279673
Weekend/Holiday,11:15,5.040318888888889,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.491309232613006
Weekend/Holiday,11:20,5.025848555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.4768388992796724
Weekend/Holiday,11:25,4.821936666666667,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.272927010390784
Weekend/Holiday,11:30,4.793703555555556,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.244693899279673
Weekend/Holiday,11:35,4.667260111111111,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.1182504548352283
Weekend/Holiday,11:40,4.667193777777778,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.1181841215018955
Weekend/Holiday,11:45,4.7110594444444445,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.1620497881685616
Weekend/Holiday,11:50,4.6338975555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.0848878992796727
Weekend/Holiday,11:55,4.590275444444444,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.041265788168561
Weekend/Holiday,12:00,4.551854777777778,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.002845121501895
Weekend/Holiday,12:05,4.522686666666667,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.973677010390784
Weekend/Holiday,12:10,4.561380555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,3.0123708992796723
Weekend/Holiday,12:15,4.495495444444444,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.946485788168561
Weekend/Holiday,12:20,4.548353222222222,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.9993435659463388
Weekend/Holiday,12:25,4.513074666666666,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.9640650103907835
Weekend/Holiday,12:30,4.495362777777777,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.9463531215018945
Weekend/Holiday,12:35,4.376190222222222,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.8271805659463394
Weekend/Holiday,12:40,4.446898000000001,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.897888343724118
Weekend/Holiday,12:45,4.461139222222222,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.9121295659463393
Weekend/Holiday,12:50,4.374995111111112,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.825985454835229
Weekend/Holiday,12:55,4.2953895555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.7463798992796726
Weekend/Holiday,13:00,4.399795444444445,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.850785788168562
Weekend/Holiday,13:05,4.337609111111111,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.788599454835228
Weekend/Holiday,13:10,4.412155666666667,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.863146010390784
Weekend/Holiday,13:15,4.462661777777778,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.913652121501895
Weekend/Holiday,13:20,4.356633333333333,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.80762367705745
Weekend/Holiday,13:25,4.318230222222223,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.76922056594634
Weekend/Holiday,13:30,4.333481777777777,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.7844721215018944
Weekend/Holiday,13:35,4.305764111111111,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.7567544548352285
Weekend/Holiday,13:40,4.308836555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.759826899279672
Weekend/Holiday,13:45,4.261003111111112,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.711993454835229
Weekend/Holiday,13:50,4.259517888888889,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.7105082326130066
Weekend/Holiday,13:55,4.1878342222222225,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.6388245659463396
Weekend/Holiday,14:00,4.081572,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.5325623437241176
Weekend/Holiday,14:05,4.15832,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.609310343724117
Weekend/Holiday,14:10,4.088727444444444,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.5397177881685615
Weekend/Holiday,14:15,4.030308000000001,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.481298343724118
Weekend/Holiday,14:20,4.090650333333333,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.54164067705745
Weekend/Holiday,14:25,4.138906555555556,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.589896899279673
Weekend/Holiday,14:30,4.1170205555555555,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.5680108992796726
Weekend/Holiday,14:35,4.107678222222223,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.55866856594634
Weekend/Holiday,14:40,4.119469,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.5704593437241168
Weekend/Holiday,14:45,4.157960666666666,1.8255899999999998,3.7211199201388885,1.5490096562758828,2.608951010390783
